text,task,time,date
Schedule a team meeting for June 2 at 2:00pm,Schedule a team meeting,2:00pm,June 2
Submit the quarterly report by 10:45am,Submit the quarterly report,10:45am,
Call the client on May 24,Call the client on,,May 24
Prepare slides for the presentation on June 17,Prepare slides for the,,June 17
Finish the budget review before 4:45pm,Finish the budget review,4:45pm,
Submit the quarterly report by 7:15am,Submit the quarterly report,7:15am,
I need to review my applications at 9:00pm,I need to review,9:00pm,
Schedule a team meeting for June 16 at 8:30pm,Schedule a team meeting,8:30pm,June 16
Schedule a team meeting for July 9 at 4:15pm,Schedule a team meeting,4:15pm,July 9
Submit the quarterly report by 4:15pm,Submit the quarterly report,4:15pm,
Schedule a team meeting for June 14 at 7:15pm,Schedule a team meeting,7:15pm,June 14
Schedule a team meeting for June 27 at 8:45am,Schedule a team meeting,8:45am,June 27
Send the invoice on May 30,Send the invoice on,,May 30
Schedule a team meeting for June 14 at 8:15pm,Schedule a team meeting,8:15pm,June 14
Prepare slides for the presentation on July 6,Prepare slides for the,,July 6
Schedule a team meeting for June 2 at 5:30pm,Schedule a team meeting,5:30pm,June 2
Prepare slides for the presentation on July 4,Prepare slides for the,,July 4
Set up a one-on-one on May 29 at 7:30am,Set up a one-on-one,7:30am,May 29
Submit the quarterly report by 8:45pm,Submit the quarterly report,8:45pm,
Call the client on July 16,Call the client on,,July 16
Finish the budget review before 11:15am,Finish the budget review,11:15am,
Meet with HR at 1:00pm,Meet with hr at,1:00pm,
Meet with HR at 9:15pm,Meet with hr at,9:15pm,
Send the invoice on May 21,Send the invoice on,,May 21
Check email updates around 1:15pm,Check email updates around,1:15pm,
Check email updates around 1:15pm,Check email updates around,1:15pm,
Set up a one-on-one on May 23 at 6:45am,Set up a one-on-one,6:45am,May 23
I need to review my applications at 9:00pm,I need to review,9:00pm,
Meet with HR at 6:45pm,Meet with hr at,6:45pm,
Submit the quarterly report by 8:45pm,Submit the quarterly report,8:45pm,
Submit the quarterly report by 6:45am,Submit the quarterly report,6:45am,
Schedule a team meeting for June 8 at 10:30am,Schedule a team meeting,10:30am,June 8
Schedule a team meeting for June 20 at 8:00am,Schedule a team meeting,8:00am,June 20
Finish the budget review before 11:45am,Finish the budget review,11:45am,
Set up a one-on-one on June 19 at 6:45am,Set up a one-on-one,6:45am,June 19
Call the client on July 10,Call the client on,,July 10
Prepare slides for the presentation on July 15,Prepare slides for the,,July 15
Submit the quarterly report by 6:30pm,Submit the quarterly report,6:30pm,
I need to review my applications at 3:45pm,I need to review,3:45pm,
Finish the budget review before 12:00pm,Finish the budget review,12:00pm,
Prepare slides for the presentation on July 16,Prepare slides for the,,July 16
I need to review my applications at 9:45am,I need to review,9:45am,
Send the invoice on June 13,Send the invoice on,,June 13
Call the client on May 29,Call the client on,,May 29
Prepare slides for the presentation on July 1,Prepare slides for the,,July 1
Send the invoice on June 10,Send the invoice on,,June 10
Prepare slides for the presentation on June 7,Prepare slides for the,,June 7
I need to review my applications at 8:30am,I need to review,8:30am,
Send the invoice on June 20,Send the invoice on,,June 20
Meet with HR at 3:45pm,Meet with hr at,3:45pm,
Prepare slides for the presentation on July 17,Prepare slides for the,,July 17
Send the invoice on June 15,Send the invoice on,,June 15
Call the client on May 27,Call the client on,,May 27
Call the client on July 4,Call the client on,,July 4
Call the client on July 15,Call the client on,,July 15
Schedule a team meeting for June 16 at 6:30am,Schedule a team meeting,6:30am,June 16
Meet with HR at 10:45am,Meet with hr at,10:45am,
Check email updates around 8:00pm,Check email updates around,8:00pm,
Schedule a team meeting for July 15 at 8:00am,Schedule a team meeting,8:00am,July 15
Schedule a team meeting for June 27 at 4:45pm,Schedule a team meeting,4:45pm,June 27
Prepare slides for the presentation on June 27,Prepare slides for the,,June 27
Meet with HR at 8:45pm,Meet with hr at,8:45pm,
Set up a one-on-one on May 31 at 10:30am,Set up a one-on-one,10:30am,May 31
Finish the budget review before 1:45pm,Finish the budget review,1:45pm,
Finish the budget review before 7:15am,Finish the budget review,7:15am,
Finish the budget review before 8:15pm,Finish the budget review,8:15pm,
Call the client on June 1,Call the client on,,June 1
Call the client on May 28,Call the client on,,May 28
I need to review my applications at 4:15pm,I need to review,4:15pm,
Finish the budget review before 5:15pm,Finish the budget review,5:15pm,
Meet with HR at 7:30am,Meet with hr at,7:30am,
Call the client on June 24,Call the client on,,June 24
Call the client on July 18,Call the client on,,July 18
I need to review my applications at 6:45pm,I need to review,6:45pm,
Call the client on May 30,Call the client on,,May 30
I need to review my applications at 4:30pm,I need to review,4:30pm,
Finish the budget review before 10:45am,Finish the budget review,10:45am,
Submit the quarterly report by 9:00pm,Submit the quarterly report,9:00pm,
Meet with HR at 9:30am,Meet with hr at,9:30am,
Check email updates around 1:45pm,Check email updates around,1:45pm,
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Schedule a team meeting for June 2 at 1:30pm,Schedule a team meeting,1:30pm,June 2
I need to review my applications at 8:45am,I need to review,8:45am,
Submit the quarterly report by 6:15pm,Submit the quarterly report,6:15pm,
Prepare slides for the presentation on June 15,Prepare slides for the,,June 15
Call the client on June 14,Call the client on,,June 14
Prepare slides for the presentation on June 12,Prepare slides for the,,June 12
Prepare slides for the presentation on July 15,Prepare slides for the,,July 15
Meet with HR at 8:15am,Meet with hr at,8:15am,
Send the invoice on June 8,Send the invoice on,,June 8
Call the client on May 29,Call the client on,,May 29
Set up a one-on-one on June 3 at 8:15am,Set up a one-on-one,8:15am,June 3
Finish the budget review before 9:30pm,Finish the budget review,9:30pm,
Set up a one-on-one on May 21 at 6:00pm,Set up a one-on-one,6:00pm,May 21
Check email updates around 2:45pm,Check email updates around,2:45pm,
Meet with HR at 8:15pm,Meet with hr at,8:15pm,
Call the client on June 25,Call the client on,,June 25
Send the invoice on July 13,Send the invoice on,,July 13
Set up a one-on-one on June 25 at 3:45pm,Set up a one-on-one,3:45pm,June 25
Send the invoice on July 10,Send the invoice on,,July 10
I need to review my applications at 10:30am,I need to review,10:30am,
Send the invoice on June 16,Send the invoice on,,June 16
Call the client on May 22,Call the client on,,May 22
Submit the quarterly report by 2:45pm,Submit the quarterly report,2:45pm,
Set up a one-on-one on June 26 at 5:45pm,Set up a one-on-one,5:45pm,June 26
Check email updates around 2:45pm,Check email updates around,2:45pm,
Submit the quarterly report by 5:00pm,Submit the quarterly report,5:00pm,
Finish the budget review before 11:00am,Finish the budget review,11:00am,
Prepare slides for the presentation on June 12,Prepare slides for the,,June 12
Call the client on June 13,Call the client on,,June 13
Check email updates around 5:00pm,Check email updates around,5:00pm,
Finish the budget review before 8:15am,Finish the budget review,8:15am,
Call the client on June 24,Call the client on,,June 24
Prepare slides for the presentation on June 7,Prepare slides for the,,June 7
Prepare slides for the presentation on July 12,Prepare slides for the,,July 12
Call the client on June 23,Call the client on,,June 23
Finish the budget review before 5:45pm,Finish the budget review,5:45pm,
Prepare slides for the presentation on June 3,Prepare slides for the,,June 3
Call the client on July 10,Call the client on,,July 10
Meet with HR at 9:45am,Meet with hr at,9:45am,
Submit the quarterly report by 9:15am,Submit the quarterly report,9:15am,
I need to review my applications at 9:30pm,I need to review,9:30pm,
Prepare slides for the presentation on July 16,Prepare slides for the,,July 16
Set up a one-on-one on July 5 at 4:15pm,Set up a one-on-one,4:15pm,July 5
Finish the budget review before 6:00am,Finish the budget review,6:00am,
Call the client on June 9,Call the client on,,June 9
Call the client on May 26,Call the client on,,May 26
Check email updates around 9:00am,Check email updates around,9:00am,
Send the invoice on June 2,Send the invoice on,,June 2
Submit the quarterly report by 7:00am,Submit the quarterly report,7:00am,
Submit the quarterly report by 2:00pm,Submit the quarterly report,2:00pm,
Finish the budget review before 6:00am,Finish the budget review,6:00am,
Submit the quarterly report by 12:15pm,Submit the quarterly report,12:15pm,
Prepare slides for the presentation on May 30,Prepare slides for the,,May 30
Finish the budget review before 5:30pm,Finish the budget review,5:30pm,
Meet with HR at 1:00pm,Meet with hr at,1:00pm,
Set up a one-on-one on July 5 at 6:15am,Set up a one-on-one,6:15am,July 5
Schedule a team meeting for July 17 at 3:15pm,Schedule a team meeting,3:15pm,July 17
Meet with HR at 6:00am,Meet with hr at,6:00am,
Schedule a team meeting for July 4 at 9:30pm,Schedule a team meeting,9:30pm,July 4
Set up a one-on-one on July 3 at 11:45am,Set up a one-on-one,11:45am,July 3
Submit the quarterly report by 11:30am,Submit the quarterly report,11:30am,
Check email updates around 12:15pm,Check email updates around,12:15pm,
Submit the quarterly report by 4:00pm,Submit the quarterly report,4:00pm,
Submit the quarterly report by 10:45am,Submit the quarterly report,10:45am,
Prepare slides for the presentation on May 26,Prepare slides for the,,May 26
Prepare slides for the presentation on June 14,Prepare slides for the,,June 14
Finish the budget review before 8:30pm,Finish the budget review,8:30pm,
Send the invoice on June 8,Send the invoice on,,June 8
Check email updates around 12:00pm,Check email updates around,12:00pm,
Send the invoice on May 21,Send the invoice on,,May 21
Send the invoice on June 18,Send the invoice on,,June 18
Meet with HR at 8:00am,Meet with hr at,8:00am,
Check email updates around 6:00pm,Check email updates around,6:00pm,
Call the client on June 2,Call the client on,,June 2
Prepare slides for the presentation on May 28,Prepare slides for the,,May 28
Schedule a team meeting for June 7 at 7:45pm,Schedule a team meeting,7:45pm,June 7
Set up a one-on-one on June 12 at 2:45pm,Set up a one-on-one,2:45pm,June 12
Send the invoice on June 22,Send the invoice on,,June 22
Finish the budget review before 10:45am,Finish the budget review,10:45am,
Submit the quarterly report by 2:45pm,Submit the quarterly report,2:45pm,
Schedule a team meeting for May 27 at 10:00am,Schedule a team meeting,10:00am,May 27
I need to review my applications at 8:45am,I need to review,8:45am,
I need to review my applications at 11:45am,I need to review,11:45am,
Prepare slides for the presentation on June 29,Prepare slides for the,,June 29
Set up a one-on-one on July 2 at 9:00am,Set up a one-on-one,9:00am,July 2
Meet with HR at 9:45pm,Meet with hr at,9:45pm,
Finish the budget review before 9:45pm,Finish the budget review,9:45pm,
Finish the budget review before 4:00pm,Finish the budget review,4:00pm,
I need to review my applications at 7:00pm,I need to review,7:00pm,
Send the invoice on June 18,Send the invoice on,,June 18
Send the invoice on June 1,Send the invoice on,,June 1
Meet with HR at 3:15pm,Meet with hr at,3:15pm,
Check email updates around 10:30am,Check email updates around,10:30am,
Check email updates around 9:00pm,Check email updates around,9:00pm,
Send the invoice on June 25,Send the invoice on,,June 25
Call the client on June 6,Call the client on,,June 6
Send the invoice on July 9,Send the invoice on,,July 9
Finish the budget review before 4:00pm,Finish the budget review,4:00pm,
Set up a one-on-one on July 13 at 7:15am,Set up a one-on-one,7:15am,July 13
Prepare slides for the presentation on July 8,Prepare slides for the,,July 8
Prepare slides for the presentation on June 17,Prepare slides for the,,June 17
Prepare slides for the presentation on June 12,Prepare slides for the,,June 12
I need to review my applications at 1:15pm,I need to review,1:15pm,
Finish the budget review before 8:00am,Finish the budget review,8:00am,
Finish the budget review before 9:30am,Finish the budget review,9:30am,
I need to review my applications at 4:00pm,I need to review,4:00pm,
Check email updates around 7:30pm,Check email updates around,7:30pm,
Send the invoice on June 14,Send the invoice on,,June 14
Set up a one-on-one on June 26 at 6:30pm,Set up a one-on-one,6:30pm,June 26
Submit the quarterly report by 9:00pm,Submit the quarterly report,9:00pm,
Schedule a team meeting for June 22 at 4:45pm,Schedule a team meeting,4:45pm,June 22
Prepare slides for the presentation on June 13,Prepare slides for the,,June 13
Check email updates around 12:45pm,Check email updates around,12:45pm,
Submit the quarterly report by 12:30pm,Submit the quarterly report,12:30pm,
I need to review my applications at 3:45pm,I need to review,3:45pm,
Schedule a team meeting for June 27 at 8:00am,Schedule a team meeting,8:00am,June 27
